skin,seed,model,distinct_ratio,entropy,g_monotonicity,g_roughness,g_var_explained,R2_score,rho_score,R2_rank_repair
Combination,0,NB,0.991,0.846,-0.272,10.595,0.054,0.193,0.802,0.193
Combination,0,LogReg,0.991,0.933,-0.707,7.036,0.048,0.165,0.598,0.165
Combination,0,LightGBM,0.991,0.749,-0.55,8.073,0.046,0.338,0.662,0.338
Combination,1,NB,0.997,0.825,-0.267,9.824,0.045,0.321,0.683,0.321
Combination,1,LogReg,0.997,0.926,-0.547,9.908,0.051,0.246,0.758,0.246
Combination,1,LightGBM,0.997,0.767,-0.505,7.338,0.031,0.822,0.941,0.822
Combination,2,NB,0.995,0.83,-0.21,7.034,0.052,0.673,0.887,0.673
Combination,2,LogReg,0.995,0.933,-0.506,10.833,0.073,0.789,0.934,0.789
Combination,2,LightGBM,0.995,0.752,-0.446,7.689,0.04,0.407,0.658,0.407
Dry,0,NB,0.994,0.858,-0.194,12.335,0.047,0.585,0.826,0.585
Dry,0,LogReg,0.994,0.949,-0.425,7.04,0.035,0.781,0.882,0.781
Dry,0,LightGBM,0.994,0.848,-0.281,10.691,0.041,0.232,0.8,0.232
Dry,1,NB,0.997,0.875,-0.243,7.292,0.027,0.211,0.753,0.211
Dry,1,LogReg,0.997,0.954,-0.402,8.24,0.046,0.85,0.943,0.85
Dry,1,LightGBM,0.997,0.844,-0.381,11.03,0.045,-0.221,0.544,-0.221
Dry,2,NB,0.991,0.878,-0.128,9.164,0.055,-0.163,0.425,-0.163
Dry,2,LogReg,0.991,0.947,-0.487,9.876,0.022,0.796,0.87,0.796
Dry,2,LightGBM,0.991,0.841,-0.346,9.581,0.036,-0.016,0.631,-0.016
Normal,0,NB,0.998,0.835,-0.187,10.726,0.037,0.042,0.595,0.042
Normal,0,LogReg,0.998,0.94,-0.48,8.513,0.038,0.5,0.813,0.5
Normal,0,LightGBM,0.998,0.752,-0.381,9.012,0.038,0.295,0.747,0.295
Normal,1,NB,0.995,0.849,-0.131,9.217,0.046,-0.415,0.168,-0.415
Normal,1,LogReg,0.995,0.931,-0.439,10.151,0.036,0.217,0.814,0.217
Normal,1,LightGBM,0.995,0.773,-0.506,8.804,0.032,0.686,0.888,0.686
Normal,2,NB,0.996,0.834,-0.131,8.183,0.032,0.423,0.839,0.423
Normal,2,LogReg,0.996,0.929,-0.406,9.992,0.038,0.398,0.665,0.398
Normal,2,LightGBM,0.996,0.758,-0.284,11.131,0.044,0.398,0.734,0.398
Oily,0,NB,0.995,0.869,-0.249,10.779,0.036,0.491,0.947,0.491
Oily,0,LogReg,0.995,0.952,-0.34,9.902,0.043,0.116,0.717,0.116
Oily,0,LightGBM,0.994,0.857,-0.213,8.42,0.042,0.619,0.753,0.619
Oily,1,NB,0.994,0.882,-0.155,10.905,0.042,0.885,0.89,0.885
Oily,1,LogReg,0.994,0.947,-0.369,9.381,0.03,-0.246,0.354,-0.246
Oily,1,LightGBM,0.993,0.864,-0.129,7.977,0.035,0.124,0.708,0.124
Oily,2,NB,0.994,0.868,-0.161,10.606,0.044,0.895,0.938,0.895
Oily,2,LogReg,0.994,0.939,-0.344,11.63,0.038,0.086,0.678,0.086
Oily,2,LightGBM,0.993,0.86,-0.161,14.033,0.019,0.712,0.904,0.712
Sensitive,0,NB,0.994,0.927,-0.582,7.605,0.054,0.781,0.949,0.781
Sensitive,0,LogReg,0.994,0.967,-0.62,7.283,0.045,0.864,0.953,0.865
Sensitive,0,LightGBM,0.994,0.926,-0.531,8.976,0.042,0.219,0.572,0.219
Sensitive,1,NB,0.99,0.93,-0.624,8.799,0.054,0.845,0.977,0.845
Sensitive,1,LogReg,0.99,0.964,-0.58,6.652,0.041,0.895,0.975,0.895
Sensitive,1,LightGBM,0.99,0.928,-0.637,8.159,0.048,-0.38,0.433,-0.38
Sensitive,2,NB,0.993,0.927,-0.567,6.268,0.057,0.814,0.929,0.814
Sensitive,2,LogReg,0.993,0.968,-0.577,9.445,0.053,0.319,0.808,0.319
Sensitive,2,LightGBM,0.993,0.925,-0.373,10.037,0.046,0.055,0.437,0.055
