skin,model,k_shallow,k_deep,norm,DFI
Combination,NB,5,100,mean,0.1163
Combination,NB,5,100,median,0.26
Combination,NB,5,100,trimmed,0.1378
Combination,NB,5,200,mean,0.0257
Combination,NB,5,200,median,0.0575
Combination,NB,5,200,trimmed,0.0305
Combination,NB,5,400,mean,0.1437
Combination,NB,5,400,median,0.3212
Combination,NB,5,400,trimmed,0.1703
Combination,NB,10,100,mean,0.2728
Combination,NB,10,100,median,0.61
Combination,NB,10,100,trimmed,0.3233
Combination,NB,10,200,mean,0.1823
Combination,NB,10,200,median,0.4075
Combination,NB,10,200,trimmed,0.216
Combination,NB,10,400,mean,0.3002
Combination,NB,10,400,median,0.6712
Combination,NB,10,400,trimmed,0.3558
Combination,NB,20,100,mean,0.3176
Combination,NB,20,100,median,0.71
Combination,NB,20,100,trimmed,0.3763
Combination,NB,20,200,mean,0.227
Combination,NB,20,200,median,0.5075
Combination,NB,20,200,trimmed,0.269
Combination,NB,20,400,mean,0.345
Combination,NB,20,400,median,0.7712
Combination,NB,20,400,trimmed,0.4088
Combination,LogReg,5,100,mean,0.1498
Combination,LogReg,5,100,median,0.335
Combination,LogReg,5,100,trimmed,0.1775
Combination,LogReg,5,200,mean,0.1498
Combination,LogReg,5,200,median,0.335
Combination,LogReg,5,200,trimmed,0.1775
Combination,LogReg,5,400,mean,0.2007
Combination,LogReg,5,400,median,0.4487
Combination,LogReg,5,400,trimmed,0.2378
Combination,LogReg,10,100,mean,0.0604
Combination,LogReg,10,100,median,0.135
Combination,LogReg,10,100,trimmed,0.0715
Combination,LogReg,10,200,mean,0.0604
Combination,LogReg,10,200,median,0.135
Combination,LogReg,10,200,trimmed,0.0715
Combination,LogReg,10,400,mean,0.1113
Combination,LogReg,10,400,median,0.2487
Combination,LogReg,10,400,trimmed,0.1318
Combination,LogReg,20,100,mean,-0.208
Combination,LogReg,20,100,median,-0.465
Combination,LogReg,20,100,trimmed,-0.2464
Combination,LogReg,20,200,mean,-0.208
Combination,LogReg,20,200,median,-0.465
Combination,LogReg,20,200,trimmed,-0.2464
Combination,LogReg,20,400,mean,-0.1571
Combination,LogReg,20,400,median,-0.3512
Combination,LogReg,20,400,trimmed,-0.1862
Combination,LightGBM,5,100,mean,-0.4696
Combination,LightGBM,5,100,median,-1.05
Combination,LightGBM,5,100,trimmed,-0.5565
Combination,LightGBM,5,200,mean,-0.2941
Combination,LightGBM,5,200,median,-0.6575
Combination,LightGBM,5,200,trimmed,-0.3485
Combination,LightGBM,5,400,mean,-0.2527
Combination,LightGBM,5,400,median,-0.565
Combination,LightGBM,5,400,trimmed,-0.2994
Combination,LightGBM,10,100,mean,0.0224
Combination,LightGBM,10,100,median,0.05
Combination,LightGBM,10,100,trimmed,0.0265
Combination,LightGBM,10,200,mean,0.1979
Combination,LightGBM,10,200,median,0.4425
Combination,LightGBM,10,200,trimmed,0.2345
Combination,LightGBM,10,400,mean,0.2393
Combination,LightGBM,10,400,median,0.535
Combination,LightGBM,10,400,trimmed,0.2835
Combination,LightGBM,20,100,mean,0.0671
Combination,LightGBM,20,100,median,0.15
Combination,LightGBM,20,100,trimmed,0.0795
Combination,LightGBM,20,200,mean,0.2426
Combination,LightGBM,20,200,median,0.5425
Combination,LightGBM,20,200,trimmed,0.2875
Combination,LightGBM,20,400,mean,0.284
Combination,LightGBM,20,400,median,0.635
Combination,LightGBM,20,400,trimmed,0.3365
Dry,NB,5,100,mean,-0.2594
Dry,NB,5,100,median,-0.58
Dry,NB,5,100,trimmed,-0.3074
Dry,NB,5,200,mean,-0.1834
Dry,NB,5,200,median,-0.41
Dry,NB,5,200,trimmed,-0.2173
Dry,NB,5,400,mean,0.0263
Dry,NB,5,400,median,0.0587
Dry,NB,5,400,trimmed,0.0311
Dry,NB,10,100,mean,0.0313
Dry,NB,10,100,median,0.07
Dry,NB,10,100,trimmed,0.0371
Dry,NB,10,200,mean,0.1073
Dry,NB,10,200,median,0.24
Dry,NB,10,200,trimmed,0.1272
Dry,NB,10,400,mean,0.317
Dry,NB,10,400,median,0.7087
Dry,NB,10,400,trimmed,0.3756
Dry,NB,20,100,mean,-0.0246
Dry,NB,20,100,median,-0.055
Dry,NB,20,100,trimmed,-0.0291
Dry,NB,20,200,mean,0.0514
Dry,NB,20,200,median,0.115
Dry,NB,20,200,trimmed,0.0609
Dry,NB,20,400,mean,0.2611
Dry,NB,20,400,median,0.5837
Dry,NB,20,400,trimmed,0.3094
Dry,LogReg,5,100,mean,0.2617
Dry,LogReg,5,100,median,0.585
Dry,LogReg,5,100,trimmed,0.31
Dry,LogReg,5,200,mean,0.3936
Dry,LogReg,5,200,median,0.88
Dry,LogReg,5,200,trimmed,0.4664
Dry,LogReg,5,400,mean,0.5317
Dry,LogReg,5,400,median,1.1887
Dry,LogReg,5,400,trimmed,0.63
Dry,LogReg,10,100,mean,0.1498
Dry,LogReg,10,100,median,0.335
Dry,LogReg,10,100,trimmed,0.1775
Dry,LogReg,10,200,mean,0.2818
Dry,LogReg,10,200,median,0.63
Dry,LogReg,10,200,trimmed,0.3339
Dry,LogReg,10,400,mean,0.4199
Dry,LogReg,10,400,median,0.9387
Dry,LogReg,10,400,trimmed,0.4975
Dry,LogReg,20,100,mean,0.1722
Dry,LogReg,20,100,median,0.385
Dry,LogReg,20,100,trimmed,0.204
Dry,LogReg,20,200,mean,0.3041
Dry,LogReg,20,200,median,0.68
Dry,LogReg,20,200,trimmed,0.3604
Dry,LogReg,20,400,mean,0.4422
Dry,LogReg,20,400,median,0.9887
Dry,LogReg,20,400,trimmed,0.524
Dry,LightGBM,5,100,mean,-0.9326
Dry,LightGBM,5,100,median,-2.085
Dry,LightGBM,5,100,trimmed,-1.105
Dry,LightGBM,5,200,mean,-0.861
Dry,LightGBM,5,200,median,-1.925
Dry,LightGBM,5,200,trimmed,-1.0202
Dry,LightGBM,5,400,mean,-0.88
Dry,LightGBM,5,400,median,-1.9675
Dry,LightGBM,5,400,trimmed,-1.0427
Dry,LightGBM,10,100,mean,-0.284
Dry,LightGBM,10,100,median,-0.635
Dry,LightGBM,10,100,trimmed,-0.3365
Dry,LightGBM,10,200,mean,-0.2125
Dry,LightGBM,10,200,median,-0.475
Dry,LightGBM,10,200,trimmed,-0.2517
Dry,LightGBM,10,400,mean,-0.2315
Dry,LightGBM,10,400,median,-0.5175
Dry,LightGBM,10,400,trimmed,-0.2743
Dry,LightGBM,20,100,mean,-0.0604
Dry,LightGBM,20,100,median,-0.135
Dry,LightGBM,20,100,trimmed,-0.0715
Dry,LightGBM,20,200,mean,0.0112
Dry,LightGBM,20,200,median,0.025
Dry,LightGBM,20,200,trimmed,0.0132
Dry,LightGBM,20,400,mean,-0.0078
Dry,LightGBM,20,400,median,-0.0175
Dry,LightGBM,20,400,trimmed,-0.0093
Normal,NB,5,100,mean,0.2393
Normal,NB,5,100,median,0.535
Normal,NB,5,100,trimmed,0.2835
Normal,NB,5,200,mean,0.227
Normal,NB,5,200,median,0.5075
Normal,NB,5,200,trimmed,0.269
Normal,NB,5,400,mean,0.3819
Normal,NB,5,400,median,0.8537
Normal,NB,5,400,trimmed,0.4525
Normal,NB,10,100,mean,0.1946
Normal,NB,10,100,median,0.435
Normal,NB,10,100,trimmed,0.2305
Normal,NB,10,200,mean,0.1823
Normal,NB,10,200,median,0.4075
Normal,NB,10,200,trimmed,0.216
Normal,NB,10,400,mean,0.3371
Normal,NB,10,400,median,0.7537
Normal,NB,10,400,trimmed,0.3995
Normal,NB,20,100,mean,0.1275
Normal,NB,20,100,median,0.285
Normal,NB,20,100,trimmed,0.151
Normal,NB,20,200,mean,0.1152
Normal,NB,20,200,median,0.2575
Normal,NB,20,200,trimmed,0.1365
Normal,NB,20,400,mean,0.27
Normal,NB,20,400,median,0.6037
Normal,NB,20,400,trimmed,0.32
Normal,LogReg,5,100,mean,-0.1789
Normal,LogReg,5,100,median,-0.4
Normal,LogReg,5,100,trimmed,-0.212
Normal,LogReg,5,200,mean,-0.0011
Normal,LogReg,5,200,median,-0.0025
Normal,LogReg,5,200,trimmed,-0.0013
Normal,LogReg,5,400,mean,0.0162
Normal,LogReg,5,400,median,0.0362
Normal,LogReg,5,400,trimmed,0.0192
Normal,LogReg,10,100,mean,-0.1789
Normal,LogReg,10,100,median,-0.4
Normal,LogReg,10,100,trimmed,-0.212
Normal,LogReg,10,200,mean,-0.0011
Normal,LogReg,10,200,median,-0.0025
Normal,LogReg,10,200,trimmed,-0.0013
Normal,LogReg,10,400,mean,0.0162
Normal,LogReg,10,400,median,0.0362
Normal,LogReg,10,400,trimmed,0.0192
Normal,LogReg,20,100,mean,0.0671
Normal,LogReg,20,100,median,0.15
Normal,LogReg,20,100,trimmed,0.0795
Normal,LogReg,20,200,mean,0.2449
Normal,LogReg,20,200,median,0.5475
Normal,LogReg,20,200,trimmed,0.2902
Normal,LogReg,20,400,mean,0.2622
Normal,LogReg,20,400,median,0.5862
Normal,LogReg,20,400,trimmed,0.3107
Normal,LightGBM,5,100,mean,-0.4428
Normal,LightGBM,5,100,median,-0.99
Normal,LightGBM,5,100,trimmed,-0.5247
Normal,LightGBM,5,200,mean,-0.2728
Normal,LightGBM,5,200,median,-0.61
Normal,LightGBM,5,200,trimmed,-0.3233
Normal,LightGBM,5,400,mean,-0.251
Normal,LightGBM,5,400,median,-0.5612
Normal,LightGBM,5,400,trimmed,-0.2975
Normal,LightGBM,10,100,mean,-0.3757
Normal,LightGBM,10,100,median,-0.84
Normal,LightGBM,10,100,trimmed,-0.4452
Normal,LightGBM,10,200,mean,-0.2057
Normal,LightGBM,10,200,median,-0.46
Normal,LightGBM,10,200,trimmed,-0.2438
Normal,LightGBM,10,400,mean,-0.1839
Normal,LightGBM,10,400,median,-0.4112
Normal,LightGBM,10,400,trimmed,-0.218
Normal,LightGBM,20,100,mean,-0.0403
Normal,LightGBM,20,100,median,-0.09
Normal,LightGBM,20,100,trimmed,-0.0477
Normal,LightGBM,20,200,mean,0.1297
Normal,LightGBM,20,200,median,0.29
Normal,LightGBM,20,200,trimmed,0.1537
Normal,LightGBM,20,400,mean,0.1515
Normal,LightGBM,20,400,median,0.3387
Normal,LightGBM,20,400,trimmed,0.1795
Oily,NB,5,100,mean,0.0581
Oily,NB,5,100,median,0.13
Oily,NB,5,100,trimmed,0.0689
Oily,NB,5,200,mean,0.1633
Oily,NB,5,200,median,0.365
Oily,NB,5,200,trimmed,0.1934
Oily,NB,5,400,mean,0.2152
Oily,NB,5,400,median,0.4812
Oily,NB,5,400,trimmed,0.2551
Oily,NB,10,100,mean,0.2818
Oily,NB,10,100,median,0.63
Oily,NB,10,100,trimmed,0.3339
Oily,NB,10,200,mean,0.3869
Oily,NB,10,200,median,0.865
Oily,NB,10,200,trimmed,0.4584
Oily,NB,10,400,mean,0.4389
Oily,NB,10,400,median,0.9812
Oily,NB,10,400,trimmed,0.52
Oily,NB,20,100,mean,0.3712
Oily,NB,20,100,median,0.83
Oily,NB,20,100,trimmed,0.4399
Oily,NB,20,200,mean,0.4763
Oily,NB,20,200,median,1.065
Oily,NB,20,200,trimmed,0.5644
Oily,NB,20,400,mean,0.5283
Oily,NB,20,400,median,1.1812
Oily,NB,20,400,trimmed,0.626
Oily,LogReg,5,100,mean,-0.5412
Oily,LogReg,5,100,median,-1.21
Oily,LogReg,5,100,trimmed,-0.6413
Oily,LogReg,5,200,mean,-0.4316
Oily,LogReg,5,200,median,-0.965
