pool,backbone,skin,seed,cal,method,burden@5,ndcg@5,burden@10,ndcg@10,burden@20,ndcg@20,burden@50,ndcg@50
dense,NB,Combination,0,minmax,relevance_only,9.0,0.9999999999999999,8.5,1.0,9.05,0.9999999999999999,9.16,0.9247163791794099
dense,NB,Combination,0,minmax,hard_filter,9.0,0.9999999999999999,8.5,1.0,9.05,0.9999999999999999,9.16,0.9247163791794099
dense,NB,Combination,0,minmax,proportional,4.2,0.9999999999999999,5.3,0.9216017310213245,5.8,0.9494043170253827,6.1,0.8659957967211942
dense,NB,Combination,0,minmax,MMR,9.0,0.8539316501572934,7.5,0.835780413693672,8.8,0.7859883613401489,8.94,0.8375714725148682
dense,NB,Combination,0,minmax,FAIR_prefix,9.0,0.9999999999999999,8.5,1.0,9.05,0.9999999999999999,9.16,0.9247163791794099
dense,NB,Combination,0,minmax,proposed,3.6,0.8687949224876581,4.1,0.914856882358379,4.2,0.8379721946257725,4.28,0.8197816394940746
dense,NB,Combination,0,rank,relevance_only,9.0,0.9999999999999999,8.5,1.0,9.05,0.9999999999999999,9.16,0.9247163791794099
dense,NB,Combination,0,rank,hard_filter,9.0,0.9999999999999999,8.5,1.0,9.05,0.9999999999999999,9.16,0.9247163791794099
dense,NB,Combination,0,rank,proportional,5.0,0.9999999999999999,5.3,0.9266360779006398,6.2,0.952653320122114,7.36,0.9001597498979674
dense,NB,Combination,0,rank,MMR,9.0,0.8539316501572934,8.4,0.9052116356304493,7.95,0.8308690642921883,9.16,0.847035124879277
dense,NB,Combination,0,rank,FAIR_prefix,9.0,0.9999999999999999,8.5,1.0,9.05,0.9999999999999999,9.16,0.9247163791794099
dense,NB,Combination,0,rank,proposed,4.2,0.8687949224876581,4.1,0.914856882358379,4.35,0.8390516304961855,4.32,0.8064440656086475
full,NB,Combination,0,minmax,relevance_only,3.0,0.8304198973631918,2.3,0.8899541168509599,2.1,0.9289799801831712,2.68,0.9612334964944959
full,NB,Combination,0,minmax,hard_filter,1.6,0.7860137352654724,1.6,0.8611375561264455,1.15,0.9103827127966565,1.16,0.9371996610532002
full,NB,Combination,0,minmax,proportional,0.0,0.7860137352654724,0.0,0.8611375561264455,0.1,0.9103827127966565,0.3,0.9510821189928904
full,NB,Combination,0,minmax,MMR,2.6,0.9999999999999999,3.1,0.9266360779006398,2.65,0.9171433102136997,2.48,0.9097189791212802
full,NB,Combination,0,minmax,FAIR_prefix,3.0,0.7860137352654724,2.3,0.8611375561264455,2.1,0.9103827127966565,2.68,0.9510821189928904
full,NB,Combination,0,minmax,proposed,0.0,0.7860137352654724,0.0,0.8611375561264455,0.0,0.9103827127966565,0.0,0.9510821189928904
full,NB,Combination,0,rank,relevance_only,3.0,0.8304198973631918,2.3,0.8899541168509599,2.1,0.9289799801831712,2.68,0.9612334964944959
full,NB,Combination,0,rank,hard_filter,1.6,0.7860137352654724,1.6,0.8611375561264455,1.15,0.9103827127966565,1.16,0.9371996610532002
full,NB,Combination,0,rank,proportional,0.0,0.7860137352654724,0.0,0.8611375561264455,0.2,0.9103827127966565,0.76,0.9510821189928904
full,NB,Combination,0,rank,MMR,4.0,0.9999999999999999,3.6,1.0,4.2,0.9999999999999999,3.64,0.971234405276217
full,NB,Combination,0,rank,FAIR_prefix,3.0,0.7860137352654724,2.3,0.8611375561264455,2.1,0.9103827127966565,2.68,0.9510821189928904
full,NB,Combination,0,rank,proposed,0.0,0.7860137352654724,0.0,0.8611375561264455,0.0,0.9103827127966565,0.0,0.9510821189928904
dense,NB,Combination,1,minmax,relevance_only,7.8,0.9999999999999999,8.2,1.0,9.6,0.9616153618346169,9.34,0.8908401037242203
dense,NB,Combination,1,minmax,hard_filter,7.8,0.9999999999999999,8.2,1.0,9.6,0.9616153618346169,9.34,0.8908401037242203
dense,NB,Combination,1,minmax,proportional,4.4,0.8687949224876581,5.3,0.914856882358379,5.25,0.945051411928014,6.12,0.8775378053367083
dense,NB,Combination,1,minmax,MMR,7.0,0.8304198973631918,7.3,0.8263333286520083,8.4,0.7781668400084721,8.64,0.8204480226981186
dense,NB,Combination,1,minmax,FAIR_prefix,7.8,0.9999999999999999,8.2,1.0,9.6,0.9616153618346169,9.34,0.8908401037242203
dense,NB,Combination,1,minmax,proposed,4.2,0.8687949224876581,4.0,0.914856882358379,4.05,0.8389315166067183,4.28,0.8060342804032472
dense,NB,Combination,1,rank,relevance_only,7.8,0.9999999999999999,8.2,1.0,9.6,0.9616153618346169,9.34,0.8908401037242203
dense,NB,Combination,1,rank,hard_filter,7.8,0.9999999999999999,8.2,1.0,9.6,0.9616153618346169,9.34,0.8908401037242203
dense,NB,Combination,1,rank,proportional,5.0,0.9999999999999999,5.3,0.9305687780632227,5.6,0.9551913563983281,7.58,0.8737835936328624
dense,NB,Combination,1,rank,MMR,9.0,0.8304198973631918,8.3,0.8899541168509599,7.3,0.8626775182308807,8.48,0.8460232613535342
dense,NB,Combination,1,rank,FAIR_prefix,7.8,0.9999999999999999,8.2,1.0,9.6,0.9616153618346169,9.34,0.8908401037242203
dense,NB,Combination,1,rank,proposed,4.2,0.8687949224876581,4.2,0.914856882358379,4.2,0.840656197714381,4.28,0.8066970858505063
full,NB,Combination,1,minmax,relevance_only,0.8,0.7860137352654724,2.2,0.8611375561264455,2.4,0.9103827127966565,3.22,0.9095772473444996
full,NB,Combination,1,minmax,hard_filter,0.8,0.7860137352654724,1.5,0.8611375561264455,1.25,0.9103827127966565,1.42,0.9076873638443477
full,NB,Combination,1,minmax,proportional,0.0,0.7860137352654724,0.0,0.8611375561264455,0.05,0.9103827127966565,0.24,0.9365135255003378
full,NB,Combination,1,minmax,MMR,2.2,0.8687949224876581,2.9,0.8454256604216017,3.0,0.8638864803378035,2.98,0.9104619883387952
