skin,seed,fold,method,knob,burden,ndcg
Combination,0,0,rule,0.0,13.5,1.0
Combination,0,0,rule,0.15,10.9,1.0
Combination,0,0,rule,0.3,10.9,1.0
Combination,0,0,rule,0.6,7.2,0.9363792118010483
Combination,0,0,rule,1.0,6.5,0.9052116356304493
Combination,0,0,rule,1.5,4.5,0.8236998933965709
Combination,0,0,rule,2.5,4.0,0.8048109992093389
Combination,0,0,A_text_objective,0.5,11.2,0.8643145546088338
Combination,0,0,A_text_objective,1.0,10.5,0.9305687780632227
Combination,0,0,A_text_objective,2.0,10.7,0.84860265890399
Combination,0,0,A_text_objective,5.0,11.0,0.9052116356304493
Combination,0,0,A_text_objective,10.0,8.5,0.914856882358379
Combination,0,0,B_lambdamart,0.25,4.9,0.7670273914429263
Combination,0,0,B_lambdamart,0.5,14.7,0.4990267326507382
Combination,0,0,B_lambdamart,1.0,7.2,0.38898084950169814
Combination,0,0,B_lambdamart,2.0,6.8,0.6594803070902429
Combination,0,0,B_lambdamart,4.0,10.1,0.8268133666517739
Combination,0,0,C_nestedCV,0.1,3.9,0.7759944384848245
Combination,0,0,C_nestedCV,0.3,4.5,0.8236998933965709
Combination,0,0,C_nestedCV,0.5,6.5,0.9363792118010483
Combination,0,0,C_nestedCV,1.0,6.5,0.9363792118010483
Combination,0,0,C_nestedCV,2.0,8.2,1.0
Combination,0,0,C_nestedCV,4.0,10.9,1.0
Combination,0,0,D_attr_as_feature,0.25,14.5,0.6188656458779801
Combination,0,0,D_attr_as_feature,0.5,14.7,0.6214990811334173
Combination,0,0,D_attr_as_feature,1.0,14.3,0.7381919257729244
Combination,0,0,D_attr_as_feature,2.0,7.1,0.6975961695061491
Combination,0,0,D_attr_as_feature,4.0,11.9,0.568003577662161
Combination,0,1,rule,0.0,8.7,0.8899541168509599
Combination,0,1,rule,0.15,7.6,0.8611375561264455
Combination,0,1,rule,0.3,7.3,0.8611375561264455
Combination,0,1,rule,0.6,4.4,0.7948833326720566
