mode,level,seed,skin,system,lam,burden,ndcg
mask,0.0,0,Combination,oracle,0.0,6.9,1.0
mask,0.0,0,Combination,oracle,0.2,3.0,0.7885497208855956
mask,0.0,0,Combination,oracle,0.4,3.0,0.7885497208855956
mask,0.0,0,Combination,oracle,0.6,3.0,0.7885497208855956
mask,0.0,0,Combination,oracle,0.9,3.0,0.7885497208855956
mask,0.0,0,Combination,oracle,1.3,3.0,0.7885497208855956
mask,0.0,0,Combination,oracle,2.0,3.0,0.7885497208855956
mask,0.0,0,Combination,rule,0.0,6.9,1.0
mask,0.0,0,Combination,rule,0.2,3.0,0.7885497208855956
mask,0.0,0,Combination,rule,0.4,3.0,0.7885497208855956
mask,0.0,0,Combination,rule,0.6,3.0,0.7885497208855956
mask,0.0,0,Combination,rule,0.9,3.0,0.7885497208855956
mask,0.0,0,Combination,rule,1.3,3.0,0.7885497208855956
mask,0.0,0,Combination,rule,2.0,3.0,0.7885497208855956
mask,0.0,0,Combination,learned,0.0,6.9,1.0
mask,0.0,0,Combination,learned,0.2,3.3,0.8603818544462509
mask,0.0,0,Combination,learned,0.4,3.5,0.793584067764911
mask,0.0,0,Combination,learned,0.6,3.3,0.7885497208855956
mask,0.0,0,Combination,learned,0.9,3.3,0.7503359712972109
mask,0.0,0,Combination,learned,1.3,3.4,0.7453016244178956
mask,0.0,0,Combination,learned,2.0,3.4,0.7421246259355072
mask,0.0,0,Combination,hybrid,0.0,6.9,1.0
mask,0.0,0,Combination,hybrid,0.2,3.2,0.8364586133797036
mask,0.0,0,Combination,hybrid,0.4,3.2,0.8364586133797036
mask,0.0,0,Combination,hybrid,0.6,3.2,0.8364586133797036
mask,0.0,0,Combination,hybrid,0.9,3.1,0.7605591431973849
mask,0.0,0,Combination,hybrid,1.3,3.0,0.7605591431973849
mask,0.0,0,Combination,hybrid,2.0,3.0,0.6717589890736099
mask,0.0,0,Dry,oracle,0.0,13.4,1.0
mask,0.0,0,Dry,oracle,0.2,3.2,1.0
mask,0.0,0,Dry,oracle,0.4,3.0,1.0
mask,0.0,0,Dry,oracle,0.6,3.0,1.0
mask,0.0,0,Dry,oracle,0.9,3.0,1.0
mask,0.0,0,Dry,oracle,1.3,3.0,1.0
mask,0.0,0,Dry,oracle,2.0,3.0,1.0
mask,0.0,0,Dry,rule,0.0,13.4,1.0
mask,0.0,0,Dry,rule,0.2,3.2,1.0
mask,0.0,0,Dry,rule,0.4,3.0,1.0
mask,0.0,0,Dry,rule,0.6,3.0,1.0
mask,0.0,0,Dry,rule,0.9,3.0,1.0
mask,0.0,0,Dry,rule,1.3,3.0,1.0
mask,0.0,0,Dry,rule,2.0,3.0,1.0
mask,0.0,0,Dry,learned,0.0,13.4,1.0
mask,0.0,0,Dry,learned,0.2,4.3,0.9305687780632227
mask,0.0,0,Dry,learned,0.4,4.1,0.8603818544462509
mask,0.0,0,Dry,learned,0.6,3.9,0.78180487222265
mask,0.0,0,Dry,learned,0.9,3.6,0.7975167679274938
mask,0.0,0,Dry,learned,1.3,3.6,0.8236998933965709
mask,0.0,0,Dry,learned,2.0,3.6,0.8236998933965709
mask,0.0,0,Dry,hybrid,0.0,13.4,1.0
mask,0.0,0,Dry,hybrid,0.2,3.3,1.0
mask,0.0,0,Dry,hybrid,0.4,3.3,1.0
mask,0.0,0,Dry,hybrid,0.6,3.3,1.0
mask,0.0,0,Dry,hybrid,0.9,3.3,1.0
mask,0.0,0,Dry,hybrid,1.3,3.2,1.0
mask,0.0,0,Dry,hybrid,2.0,3.2,1.0
mask,0.0,0,Normal,oracle,0.0,10.1,0.914856882358379
mask,0.0,0,Normal,oracle,0.2,3.0,0.8579809428223729
mask,0.0,0,Normal,oracle,0.4,3.0,0.8579809428223729
mask,0.0,0,Normal,oracle,0.6,3.0,0.8579809428223729
mask,0.0,0,Normal,oracle,0.9,3.0,0.8579809428223729
mask,0.0,0,Normal,oracle,1.3,3.0,0.8579809428223729
mask,0.0,0,Normal,oracle,2.0,3.0,0.8579809428223729
mask,0.0,0,Normal,rule,0.0,10.1,0.914856882358379
mask,0.0,0,Normal,rule,0.2,3.0,0.8579809428223729
mask,0.0,0,Normal,rule,0.4,3.0,0.8579809428223729
mask,0.0,0,Normal,rule,0.6,3.0,0.8579809428223729
mask,0.0,0,Normal,rule,0.9,3.0,0.8579809428223729
mask,0.0,0,Normal,rule,1.3,3.0,0.8579809428223729
mask,0.0,0,Normal,rule,2.0,3.0,0.8579809428223729
mask,0.0,0,Normal,learned,0.0,10.1,0.914856882358379
mask,0.0,0,Normal,learned,0.2,3.6,0.9216017310213245
mask,0.0,0,Normal,learned,0.4,3.6,0.7827392871477701
mask,0.0,0,Normal,learned,0.6,3.6,0.7827392871477701
mask,0.0,0,Normal,learned,0.9,3.6,0.7827392871477701
mask,0.0,0,Normal,learned,1.3,3.6,0.7759944384848245
mask,0.0,0,Normal,learned,2.0,3.6,0.7663491917568948
mask,0.0,0,Normal,hybrid,0.0,10.1,0.914856882358379
mask,0.0,0,Normal,hybrid,0.2,3.3,0.914856882358379
mask,0.0,0,Normal,hybrid,0.4,3.3,0.9052116356304493
mask,0.0,0,Normal,hybrid,0.6,3.1,0.9052116356304493
mask,0.0,0,Normal,hybrid,0.9,3.0,0.8415908474314976
mask,0.0,0,Normal,hybrid,1.3,3.0,0.8263333286520083
mask,0.0,0,Normal,hybrid,2.0,3.0,0.8205228949141826
mask,0.0,0,Oily,oracle,0.0,9.0,0.7877736340270853
mask,0.0,0,Oily,oracle,0.2,3.1,0.7183627972686238
mask,0.0,0,Oily,oracle,0.4,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,0.6,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,0.9,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,1.3,3.0,0.7819835854675755
mask,0.0,0,Oily,oracle,2.0,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,0.0,9.0,0.7877736340270853
mask,0.0,0,Oily,rule,0.2,3.1,0.7183627972686238
mask,0.0,0,Oily,rule,0.4,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,0.6,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,0.9,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,1.3,3.0,0.7819835854675755
mask,0.0,0,Oily,rule,2.0,3.0,0.7819835854675755
mask,0.0,0,Oily,learned,0.0,9.0,0.7877736340270853
mask,0.0,0,Oily,learned,0.2,3.4,0.6141069626790936
mask,0.0,0,Oily,learned,0.4,3.4,0.6141069626790936
mask,0.0,0,Oily,learned,0.6,3.4,0.6293644814585829
mask,0.0,0,Oily,learned,0.9,3.4,0.6293644814585829
mask,0.0,0,Oily,learned,1.3,3.4,0.6581810421830974
mask,0.0,0,Oily,learned,2.0,3.4,0.6531466953037821
mask,0.0,0,Oily,hybrid,0.0,9.0,0.7877736340270853
mask,0.0,0,Oily,hybrid,0.2,3.3,0.84860265890399
mask,0.0,0,Oily,hybrid,0.4,3.3,0.78180487222265
mask,0.0,0,Oily,hybrid,0.6,3.3,0.7721596254947203
mask,0.0,0,Oily,hybrid,0.9,3.3,0.7695261902392829
mask,0.0,0,Oily,hybrid,1.3,3.2,0.7753366239771086
mask,0.0,0,Oily,hybrid,2.0,3.2,0.7600791051976192
mask,0.0,0,Sensitive,oracle,0.0,11.1,0.9305687780632227
mask,0.0,0,Sensitive,oracle,0.2,3.8,0.9266360779006398
mask,0.0,0,Sensitive,oracle,0.4,3.4,0.8701249883466594
mask,0.0,0,Sensitive,oracle,0.6,3.2,0.866947989864271
